NOMBRE;CIRCUNSCRIPCION;FORMACIONELECTORAL;FECHACONDICIONPLENA;FECHAALTA;GRUPOPARLAMENTARIO;FECHAALTAENGRUPOPARLAMENTARIO;FECHABAJAENGRUPOPARLAMENTARIO;BIOGRAFIA
Abades Martínez, Cristina;Lugo;PP;17/08/2023;08/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Licenciada en Derecho por la Universidad de Santiago de Compostela.   1995.   Funcionaria de administración local, letrada asesora del Ayuntamiento de Cervo.   2006.   Subdirectora de la Asesoría Jurídica de la Diputación Provincial de Lugo 2015.   Jefa territorial en Lugo de la Consejería de Política Social de la Xunta de Galicia 2018 2021.   Jefa de Área Técnica en Lugo en el Servicio de Emergencias de la Xunta de Galicia.   Concejala del grupo municipal del Partido Popular de Lugo 2019 2023.   Vicesecretaria de Acción Social y miembro del Comité Ejecutivo Provincial del Partido Popular de Lugo.   Diploma de Directivo en el ámbito de la administración local de Galicia. 
Ábalos Meco, José Luis;Valencia/València;PSOE;17/08/2023;07/08/2023;Grupo Parlamentario Socialista;28/08/2023;;"Maestro 
Consultor de Cooperación Internacional 
Jefe de Gabinete del delegado del Gobierno en la Comunitat Valenciana (1983-1987)  
Jefe de Gabinete del conseller de Treball i Seguretat Social de la Generalitat Valenciana (1988-1991)  
Director del Programa de Cooperación Internacional de la Generalitat Valenciana (1989-1992)  
Asesor del Ayuntamiento de Valencia (1992-1999)  Concejal del Ayuntamiento de Valencia (1999-2009)  Diputado Provincial de Valencia (2003-2007)  Ministro de Fomento (2018-2020)  Ministro de Transportes, Movilidad y Agenda Urbana (2020-2021)"
Abascal Conde, Santiago;Madrid;VOX;17/08/2023;16/08/2023;Grupo Parlamentario VOX;18/08/2023;;Casado. Cuatro hijos.  Presidente de VOX  Licenciado en Sociología
Acedo Reyes, Sofía;Melilla;PP;17/08/2023;03/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Abogada, socióloga y mediadora.   Licenciada en Sociología y Ciencias Políticas, especialidad Sociología.   Graduada en Derecho.   Mediadora oficial del Ministerio de Justicia.   Cargo público desde 2011, Diputada autonómica Melilla.   2011-2015, Viceconsejera y presidenta promesa.   2015-2016, Consejera.   Desde 2015-2016 senadora. 
Aceves Galindo, José Luis;Segovia;PSOE;17/08/2023;03/08/2023;Grupo Parlamentario Socialista;28/08/2023;;"Casado. Tres hijos, dos hijos y una hija.  Graduado en Ciencias Políticas y de la Administración por la UNED  Técnico Auxiliar Forestal. Escuela de
Capataces Forestales de Coca (Segovia)  BUP - IES Cauca Romana  Concejal del Ayuntamiento de Coca (Segovia) (2003-2015)  Diputado Provincial Segovia (2003-2015)  Procurador a Cortes de Castilla y León (2015-2019)  Actualmente Secretario General Provincial del PSOE de Segovia"
Adrio Taracido, María;Pontevedra;PsdeG-PSOE;17/08/2023;07/08/2023;Grupo Parlamentario Socialista;28/08/2023;;Residió siempre en Pontevedra, donde ejerció la abogacía hasta el 15 de junio de 2021 en que dio de baja como ejerciente en el ilustre Colegio Abogados de Pontevedra.   Casada y con dos hijos.   Licenciada en Derecho y Diplomada en Criminología.   Concejal del Ayuntamiento de Pontevedra 1990 1995.   Senadora, XIII y XIV Legislatura. 
Agirretxea Urresti, Joseba Andoni;Gipuzkoa;EAJ-PNV;17/08/2023;16/08/2023;Grupo Parlamentario Vasco (EAJ-PNV);18/08/2023;;Estudios de Filología Vasca (Universidad de Deusto).   Asesor de Comunicación en instituciones públicas y privadas.  Profesional de la comunicación y consultor.   Profesional de radio y televisión.  Concejal en Ondarroa (1987-1990).
Agüera Gago, Cristina;Barcelona;PP;17/08/2023;07/08/2023;Grupo Parlamentario Popular en el Congreso;18/08/2023;;Graduada en Derecho, Máster en Asesoría Fiscal y Máster Abogacía ESADE.   Segunda teniente de Alcalde de Badalona.  Concejal del Ayuntamiento de Badalona. Portavoz Grupo municipal Popular desde 2019.
Aguirre Gil de Biedma, Rocío;Madrid;VOX;16/01/2024;16/01/2024;Grupo Parlamentario VOX;16/01/2024;;Licenciada en Geografía e Historia por la Universidad Complutense de Madrid. MBA por el Instituto de Empresa
Aizcorbe Torra, Juan José;Barcelona;VOX;17/08/2023;02/08/2023;Grupo Parlamentario VOX;18/08/2023;;Casado y tres hijos.   Licenciado en Derecho por la Universidad de Barcelona  Abogado  Administrador concursal 
