date,ccaa,pcr,pcr_ia_14
2020-02-20,Andalucía,0,NA
2020-02-20,Aragón,0,NA
2020-02-20,Asturias,0,NA
2020-02-20,Baleares,1,NA
2020-02-20,Canarias,1,NA
2020-02-20,Cantabria,0,NA
2020-02-20,C. La Mancha,0,NA
2020-02-20,C. León,0,NA
2020-02-20,Cataluña,0,NA
2020-02-20,Ceuta,0,NA
2020-02-20,C. Valenciana,0,NA
2020-02-20,Extremadura,0,NA
2020-02-20,Galicia,0,NA
2020-02-20,Madrid,1,NA
2020-02-20,Melilla,0,NA
2020-02-20,Murcia,0,NA
2020-02-20,Navarra,0,NA
2020-02-20,País Vasco,0,NA
2020-02-20,La Rioja,0,NA
2020-02-21,Andalucía,0,NA
2020-02-21,Aragón,0,NA
2020-02-21,Asturias,0,NA
2020-02-21,Baleares,1,NA
2020-02-21,Canarias,1,NA
2020-02-21,Cantabria,0,NA
2020-02-21,C. La Mancha,0,NA
2020-02-21,C. León,0,NA
2020-02-21,Cataluña,0,NA
2020-02-21,Ceuta,0,NA
2020-02-21,C. Valenciana,0,NA
2020-02-21,Extremadura,0,NA
2020-02-21,Galicia,0,NA
2020-02-21,Madrid,1,NA
2020-02-21,Melilla,0,NA
2020-02-21,Murcia,0,NA
2020-02-21,Navarra,0,NA
2020-02-21,País Vasco,0,NA
2020-02-21,La Rioja,0,NA
2020-02-22,Andalucía,0,NA
2020-02-22,Aragón,0,NA
2020-02-22,Asturias,0,NA
2020-02-22,Baleares,1,NA
2020-02-22,Canarias,1,NA
2020-02-22,Cantabria,0,NA
2020-02-22,C. La Mancha,0,NA
2020-02-22,C. León,0,NA
2020-02-22,Cataluña,0,NA
2020-02-22,Ceuta,0,NA
2020-02-22,C. Valenciana,0,NA
2020-02-22,Extremadura,0,NA
2020-02-22,Galicia,0,NA
2020-02-22,Madrid,1,NA
2020-02-22,Melilla,0,NA
2020-02-22,Murcia,0,NA
2020-02-22,Navarra,0,NA
2020-02-22,País Vasco,0,NA
2020-02-22,La Rioja,0,NA
2020-02-23,Andalucía,0,NA
2020-02-23,Aragón,0,NA
2020-02-23,Asturias,0,NA
2020-02-23,Baleares,1,NA
2020-02-23,Canarias,1,NA
2020-02-23,Cantabria,0,NA
2020-02-23,C. La Mancha,0,NA
2020-02-23,C. León,0,NA
2020-02-23,Cataluña,0,NA
2020-02-23,Ceuta,0,NA
2020-02-23,C. Valenciana,0,NA
