date,ccaa,pcr,pcr_ia_14
2020-02-20,Madrid,1,NA
2020-02-21,Madrid,1,NA
2020-02-22,Madrid,1,NA
2020-02-23,Madrid,1,NA
2020-02-24,Madrid,1,NA
2020-02-25,Madrid,2,NA
2020-02-26,Madrid,6,NA
2020-02-27,Madrid,10,NA
2020-02-28,Madrid,20,NA
2020-02-29,Madrid,27,NA
2020-03-01,Madrid,53,NA
2020-03-02,Madrid,96,NA
2020-03-03,Madrid,142,NA
2020-03-04,Madrid,199,NA
2020-03-05,Madrid,311,NA
2020-03-06,Madrid,515,NA
2020-03-07,Madrid,738,NA
2020-03-08,Madrid,1003,NA
2020-03-09,Madrid,1508,NA
2020-03-10,Madrid,2213,NA
2020-03-11,Madrid,2943,NA
2020-03-12,Madrid,3732,NA
2020-03-13,Madrid,4672,NA
2020-03-14,Madrid,5576,NA
2020-03-15,Madrid,6392,NA
2020-03-16,Madrid,7653,NA
2020-03-17,Madrid,9601,NA
2020-03-18,Madrid,11356,NA
2020-03-19,Madrid,13399,NA
2020-03-20,Madrid,15722,NA
2020-03-21,Madrid,17397,NA
2020-03-22,Madrid,18900,NA
2020-03-23,Madrid,21569,NA
2020-03-24,Madrid,24475,NA
2020-03-25,Madrid,27422,NA
2020-03-26,Madrid,30796,NA
2020-03-27,Madrid,33162,NA
2020-03-28,Madrid,34189,NA
2020-03-29,Madrid,35061,NA
2020-03-30,Madrid,37607,NA
2020-03-31,Madrid,39409,NA
2020-04-01,Madrid,41199,NA
2020-04-02,Madrid,43038,NA
2020-04-03,Madrid,44779,NA
2020-04-04,Madrid,45671,NA
2020-04-05,Madrid,46197,NA
2020-04-06,Madrid,47763,NA
2020-04-07,Madrid,49160,NA
2020-04-08,Madrid,50580,NA
2020-04-09,Madrid,51535,NA
2020-04-10,Madrid,52400,NA
2020-04-11,Madrid,52944,NA
2020-04-12,Madrid,53285,NA
2020-04-13,Madrid,54287,NA
2020-04-14,Madrid,55398,NA
2020-04-15,Madrid,56304,NA
2020-04-16,Madrid,57157,NA
2020-04-17,Madrid,57978,NA
2020-04-18,Madrid,58466,NA
2020-04-19,Madrid,58673,NA
