codigo_mun,mun,election,censo,perc_escrutado,blancos,nulos,candidaturas,part,codigo_candidatura,partido,orden,votos,perc_votos
15001,Abegondo,2024,4824,100,35,40,3273,69.4,0007,PP,1,1874,56.65
15002,Ames,2024,25170,100,204,159,16901,68.58,0007,PP,1,7541,44.08
15003,Aranga,2024,1595,100,7,8,1121,71.22,0007,PP,1,681,60.37
15004,Ares,2024,5229,100,23,33,3407,66.22,0007,PP,1,1434,41.8
15005,Arteixo,2024,26154,100,119,136,14908,57.97,0007,PP,1,6933,46.13
15006,Arzúa,2024,4999,100,27,38,3334,67.99,0007,PP,1,1859,55.31
15007,A Baña,2024,2975,100,14,12,2100,71.46,0007,PP,1,1148,54.3
15008,Bergondo,2024,5938,100,27,51,4045,69.43,0007,PP,1,2172,53.33
15009,Betanzos,2024,10628,100,74,86,7209,69.33,0007,PP,1,3494,47.97
15010,Boimorto,2024,1652,100,15,7,1131,69.79,0007,PP,1,704,61.43
15011,Boiro,2024,15745,100,75,141,9697,62.95,0007,PP,1,4632,47.4
15012,Boqueixón,2024,3556,100,22,53,2574,74.49,0007,PP,1,1552,59.78
15013,Brión,2024,6537,100,41,39,4334,67.52,0007,PP,1,2151,49.16
15014,Cabana de Bergantiños,2024,3668,100,20,12,2436,67.28,0007,PP,1,1409,57.36
15015,Cabanas,2024,2921,100,12,17,1886,65.55,0007,PP,1,856,45.1
15016,Camariñas,2024,4432,100,24,28,2749,63.19,0007,PP,1,1291,46.55
15017,Cambre,2024,20158,100,155,136,12726,64.57,0007,PP,1,5537,42.98
15018,A Capela,2024,1052,100,14,6,660,64.63,0007,PP,1,253,37.53
15019,Carballo,2024,25962,100,141,119,15901,62.24,0007,PP,1,7492,46.7
15020,Carnota,2024,3414,100,17,9,2253,66.75,0007,PP,1,997,43.92
15021,Carral,2024,5468,100,29,38,3522,65.63,0007,PP,1,1763,49.64
15022,Cedeira,2024,5425,100,23,31,3261,61.1,0007,PP,1,1464,44.57
15023,Cee,2024,6397,100,32,42,4164,66.24,0007,PP,1,1934,46.09
15024,Cerceda,2024,4232,100,20,50,2954,71.45,0007,PP,1,1642,55.21
15025,Cerdido,2024,874,100,4,6,560,65.21,0007,PP,1,324,57.44
15027,Coirós,2024,1602,100,12,10,1162,73.9,0007,PP,1,717,61.07
15028,Corcubión,2024,1450,100,6,19,965,68.27,0010,BNG,2,444,45.72
15029,Coristanco,2024,5070,100,33,31,3217,64.71,0007,PP,1,1912,58.83
15030,A Coruña,2024,197523,100,1409,752,127192,65.48,0007,PP,1,57558,44.75
15031,Culleredo,2024,24333,100,175,122,15635,65.47,0007,PP,1,6514,41.2
15032,Curtis,2024,3389,100,22,43,2328,70.61,0007,PP,1,1505,64.04
15033,Dodro,2024,2293,100,8,16,1693,74.88,0007,PP,1,801,47.08
15034,Dumbría,2024,2513,100,14,25,1624,66.17,0007,PP,1,738,45.05
15035,Fene,2024,10895,100,74,58,6905,64.58,0010,BNG,2,2936,42.06
15036,Ferrol,2024,53718,100,330,236,31863,60.36,0007,PP,1,14369,44.63
15037,Fisterra,2024,4023,100,6,14,2340,58.66,0007,PP,1,1086,46.29
15038,Frades,2024,1970,100,17,17,1442,74.92,0007,PP,1,761,52.15
15039,Irixoa,2024,1181,100,6,19,831,72.48,0007,PP,1,527,62.96
15040,Laxe,2024,2564,100,10,20,1730,68.64,0007,PP,1,957,55
15041,A Laracha,2024,9665,100,69,47,6435,67.78,0007,PP,1,3433,52.78
15042,Lousame,2024,2757,100,12,28,1842,68.26,0007,PP,1,1061,57.22
15043,Malpica de Bergantiños,2024,4797,100,27,40,3113,66.29,0007,PP,1,1571,50.03
15044,Mañón,2024,1083,100,2,6,772,72.02,0007,PP,1,465,60.07
15045,Mazaricos,2024,3376,100,9,9,2169,64.78,0007,PP,1,1361,62.48
15046,Melide,2024,6228,100,31,75,4506,74.05,0007,PP,1,2514,55.41
15047,Mesía,2024,2133,100,12,14,1432,68.35,0007,PP,1,801,55.47
15048,Miño,2024,5521,100,30,33,3658,67.39,0007,PP,1,1768,47.93
15049,Moeche,2024,1067,100,7,6,764,72.82,0007,PP,1,416,53.95
15050,Monfero,2024,1612,100,12,15,957,61.04,0007,PP,1,539,55.62
15051,Mugardos,2024,4536,100,32,38,2829,63.91,0010,BNG,2,1108,38.72
15052,Muxía,2024,3889,100,14,20,2528,65.87,0007,PP,1,1353,53.22
15053,Muros,2024,7202,100,34,29,4612,64.91,0007,PP,1,2045,44.01
15054,Narón,2024,31914,100,231,170,18150,58.12,0007,PP,1,8157,44.37
