election,partido,votos_pc
1981,PCG,2.93
1981,EG,3.4
1981,BNG,6.27
1981,Otros,9.459999999999994
1981,PSG-PSOE,19.62
1981,UCD,27.8
1981,PP,30.52
1985,BNG,4.23
1985,EG,5.75
1985,Otros,8.519999999999996
1985,CG,12.8
1985,PSG-PSOE,28.3
1985,PP,40.4
1989,CG,3.65
1989,EG,3.79
1989,Otros,7.539999999999992
1989,BNG,8.01
1989,PSG-PSOE,32.81
1989,PP,44.2
1993,Otros,4.939999999999998
1993,BNG,18.55
1993,PSG-PSOE,23.89
1993,PP,52.62
1997,Otros,2.289999999999992
1997,PSG-PSOE,19.72
1997,BNG,25.11
1997,PP,52.88
2001,Otros,2.3200000000000074
2001,PSG-PSOE,22.2
2001,BNG,22.97
2001,PP,52.51
2005,Otros,1.6599999999999966
2005,BNG,18.89
2005,PSG-PSOE,33.64
2005,PP,45.81
2009,Otros,6.289999999999992
2009,BNG,16.01
2009,PSG-PSOE,31.02
2009,PP,46.68
2012,Otros,9.570000000000007
2012,BNG,10.11
2012,AGE,13.91
2012,PSG-PSOE,20.61
2012,PP,45.8
2016,Cs,3.38
2016,Otros,3.789999999999992
2016,BNG,8.33
2016,PSG-PSOE,17.87
2016,EN MAREA,19.07
2016,PP,47.56
2020,Cs,0.75
2020,VOX,2.05
2020,Otros,2.1200000000000045
2020,PODEMOS (EU-ANOVA),3.94
2020,PSG-PSOE,19.39
2020,BNG,23.79
2020,PP,47.96
