mun,prov,pob_data,tipo,renta,gasto_total_hab
Albacete,Albacete,173359.25,"(5e+04,2e+05]",32861,819.88
Almansa,Albacete,24463.75,"(1e+04,5e+04]",27375,848.43
Hellín,Albacete,30300.25,"(1e+04,5e+04]",24660,628.28
Villarrobledo,Albacete,25129.75,"(1e+04,5e+04]",27629,842.06
Alcoy/Alcoi,Alicante/Alacant,59113.25,"(5e+04,2e+05]",27794,921.81
l' Alfàs del Pi,Alicante/Alacant,20274,"(1e+04,5e+04]",24799,1006.35
Alicante/Alacant,Alicante/Alacant,335312.5,"(2e+05,Inf]",29745,710.99
Almoradí,Alicante/Alacant,20989.25,"(1e+04,5e+04]",23947,635.22
Altea,Alicante/Alacant,22375,"(1e+04,5e+04]",26812,1101.5
Aspe,Alicante/Alacant,20785.75,"(1e+04,5e+04]",25067,949.29
Benidorm,Alicante/Alacant,68961.75,"(5e+04,2e+05]",22939,1271.78
Calp,Alicante/Alacant,22803.5,"(1e+04,5e+04]",23413,1366.51
el Campello,Alicante/Alacant,28546.25,"(1e+04,5e+04]",29013,1018.46
Crevillent,Alicante/Alacant,29290.5,"(1e+04,5e+04]",24422,773.86
Dénia,Alicante/Alacant,42419.75,"(1e+04,5e+04]",27038,1265.02
Elche/Elx,Alicante/Alacant,233028,"(2e+05,Inf]",26758,734.99
Elda,Alicante/Alacant,52596.5,"(5e+04,2e+05]",23708,731.69
Ibi,Alicante/Alacant,23485.33,"(1e+04,5e+04]",29220,813.29
Jávea/Xàbia,Alicante/Alacant,27706.75,"(1e+04,5e+04]",24863,1109.06
Mutxamel,Alicante/Alacant,25421.25,"(1e+04,5e+04]",32242,744.67
Novelda,Alicante/Alacant,25682,"(1e+04,5e+04]",26831,724.3
Orihuela,Alicante/Alacant,77909.25,"(5e+04,2e+05]",24339,944.31
Petrer,Alicante/Alacant,34251.25,"(1e+04,5e+04]",25003,729.49
Sant Joan d'Alacant,Alicante/Alacant,24040.75,"(1e+04,5e+04]",32528,818.95
Santa Pola,Alicante/Alacant,32875.5,"(1e+04,5e+04]",24315,916.78
San Vicente del Raspeig/Sant Vicent del Raspeig,Alicante/Alacant,58515,"(5e+04,2e+05]",30122,650.54
Torrevieja,Alicante/Alacant,83361.25,"(5e+04,2e+05]",20026,913.47
"Villajoyosa/Vila Joiosa, la",Alicante/Alacant,34631.25,"(1e+04,5e+04]",26041,1000.26
Villena,Alicante/Alacant,34031.75,"(1e+04,5e+04]",26118,681.46
Pilar de la Horadada,Alicante/Alacant,22066.75,"(1e+04,5e+04]",25753,1389.81
Adra,Almería,25230,"(1e+04,5e+04]",23822,801.23
Almería,Almería,199364.75,"(5e+04,2e+05]",30170,867.36
Níjar,Almería,30977.25,"(1e+04,5e+04]",22844,834.81
Roquetas de Mar,Almería,97220.75,"(5e+04,2e+05]",26720,806.28
Vícar,Almería,26432.5,"(1e+04,5e+04]",24290,795.29
El Ejido,Almería,84016.75,"(5e+04,2e+05]",25471,859.98
Ávila,Ávila,57929.75,"(5e+04,2e+05]",31066,825.99
Almendralejo,Badajoz,33661.5,"(1e+04,5e+04]",23908,627.69
Badajoz,Badajoz,150706.5,"(5e+04,2e+05]",30634,729.33
Don Benito,Badajoz,37180,"(1e+04,5e+04]",27166,781.81
Mérida,Badajoz,59414.75,"(5e+04,2e+05]",28545,805.1
Villanueva de la Serena,Badajoz,25753.75,"(1e+04,5e+04]",25746,907.12
Alcúdia,Illes Balears,20376,"(1e+04,5e+04]",28344,1385.88
Calvià,Illes Balears,50792.25,"(5e+04,2e+05]",32380,1892.01
Ciutadella de Menorca,Illes Balears,30072.25,"(1e+04,5e+04]",31019,1157.56
Eivissa,Illes Balears,50320.25,"(5e+04,2e+05]",37684,1131.74
Inca,Illes Balears,33215.25,"(1e+04,5e+04]",30775,899.07
Llucmajor,Illes Balears,37312,"(1e+04,5e+04]",34252,970.51
Maó,Illes Balears,29200.5,"(1e+04,5e+04]",34491,1165.71
Manacor,Illes Balears,43943.75,"(1e+04,5e+04]",31156,958.79
Marratxí,Illes Balears,37499.75,"(1e+04,5e+04]",44052,753.82
Palma,Illes Balears,416919.75,"(2e+05,Inf]",36510,935.38
Sant Antoni de Portmany,Illes Balears,26372.67,"(1e+04,5e+04]",33410,980.01
Sant Josep de sa Talaia,Illes Balears,27485,"(1e+04,5e+04]",35215,1301.92
Santa Eulària des Riu,Illes Balears,38467,"(1e+04,5e+04]",34394,1172.31
