codigo_mun,mun,prov,ccaa,renta_neta_media_por_persona
01001,Alegría-Dulantzi,Araba/Álava,País Vasco,14647
01002,Amurrio,Araba/Álava,País Vasco,15192
01003,Aramaio,Araba/Álava,País Vasco,18440
01004,Artziniega,Araba/Álava,País Vasco,14033
01006,Armiñón,Araba/Álava,País Vasco,16927
01008,Arratzua-Ubarrundia,Araba/Álava,País Vasco,19293
01009,Asparrena,Araba/Álava,País Vasco,14754
01010,Ayala/Aiara,Araba/Álava,País Vasco,15577
01011,Baños de Ebro/Mañueta,Araba/Álava,País Vasco,11109
01013,Barrundia,Araba/Álava,País Vasco,17935
01014,Berantevilla,Araba/Álava,País Vasco,15428
01016,Bernedo,Araba/Álava,País Vasco,15883
01017,Campezo/Kanpezu,Araba/Álava,País Vasco,14737
01018,Zigoitia,Araba/Álava,País Vasco,19671
01019,Kripan,Araba/Álava,País Vasco,12308
01020,Kuartango,Araba/Álava,País Vasco,16019
01021,Elburgo/Burgelu,Araba/Álava,País Vasco,18082
01022,Elciego,Araba/Álava,País Vasco,14061
01023,Elvillar/Bilar,Araba/Álava,País Vasco,11013
01027,Iruraiz-Gauna,Araba/Álava,País Vasco,18015
01028,Labastida/Bastida,Araba/Álava,País Vasco,12886
01030,Lagrán,Araba/Álava,País Vasco,17295
01031,Laguardia,Araba/Álava,País Vasco,14088
01032,Lanciego/Lantziego,Araba/Álava,País Vasco,10797
01033,Lapuebla de Labarca,Araba/Álava,País Vasco,11131
01034,Leza,Araba/Álava,País Vasco,15720
01036,Laudio/Llodio,Araba/Álava,País Vasco,15175
01037,Arraia-Maeztu,Araba/Álava,País Vasco,21732
01039,Moreda de Álava/Moreda Araba,Araba/Álava,País Vasco,14817
01041,Navaridas,Araba/Álava,País Vasco,10955
01042,Okondo,Araba/Álava,País Vasco,13955
01043,Oyón-Oion,Araba/Álava,País Vasco,11795
01044,Peñacerrada-Urizaharra,Araba/Álava,País Vasco,18385
01046,Erriberagoitia/Ribera Alta,Araba/Álava,País Vasco,17196
01047,Erriberabeitia,Araba/Álava,País Vasco,14312
01049,Añana,Araba/Álava,País Vasco,18624
01051,Agurain/Salvatierra,Araba/Álava,País Vasco,13273
01052,Samaniego,Araba/Álava,País Vasco,13481
01053,San Millán/Donemiliaga,Araba/Álava,País Vasco,17174
01054,Urkabustaiz,Araba/Álava,País Vasco,14967
01055,Valdegovía/Gaubea,Araba/Álava,País Vasco,16154
01056,Harana/Valle de Arana,Araba/Álava,País Vasco,14458
01057,Villabuena de Álava/Eskuernaga,Araba/Álava,País Vasco,11786
01058,Legutio,Araba/Álava,País Vasco,16554
01059,Vitoria-Gasteiz,Araba/Álava,País Vasco,15650
01060,Yécora/Iekora,Araba/Álava,País Vasco,12184
01061,Zalduondo,Araba/Álava,País Vasco,19361
01062,Zambrana,Araba/Álava,País Vasco,14099
01063,Zuia,Araba/Álava,País Vasco,19864
01901,Iruña Oka/Iruña de Oca,Araba/Álava,País Vasco,15046
01902,Lantarón,Araba/Álava,País Vasco,13872
02001,Abengibre,Albacete,Castilla - La Mancha,12188
02002,Alatoz,Albacete,Castilla - La Mancha,10771
02003,Albacete,Albacete,Castilla - La Mancha,13146
02004,Albatana,Albacete,Castilla - La Mancha,10026
02005,Alborea,Albacete,Castilla - La Mancha,9881
02006,Alcadozo,Albacete,Castilla - La Mancha,10086
02007,Alcalá del Júcar,Albacete,Castilla - La Mancha,10480
02008,Alcaraz,Albacete,Castilla - La Mancha,10630
02009,Almansa,Albacete,Castilla - La Mancha,11263
