codigo_mun,mun,prov,ccaa,renta_neta_media_por_persona
28001,La Acebeda,Madrid,"Madrid, Comunidad de",15245
28002,Ajalvir,Madrid,"Madrid, Comunidad de",14285
28003,Alameda del Valle,Madrid,"Madrid, Comunidad de",17962
28004,El Álamo,Madrid,"Madrid, Comunidad de",11097
28005,Alcalá de Henares,Madrid,"Madrid, Comunidad de",13809
28006,Alcobendas,Madrid,"Madrid, Comunidad de",19394
28007,Alcorcón,Madrid,"Madrid, Comunidad de",13993
28008,Aldea del Fresno,Madrid,"Madrid, Comunidad de",11019
28009,Algete,Madrid,"Madrid, Comunidad de",16265
28010,Alpedrete,Madrid,"Madrid, Comunidad de",15887
28011,Ambite,Madrid,"Madrid, Comunidad de",11201
28012,Anchuelo,Madrid,"Madrid, Comunidad de",12008
28013,Aranjuez,Madrid,"Madrid, Comunidad de",12779
28014,Arganda del Rey,Madrid,"Madrid, Comunidad de",12184
28015,Arroyomolinos,Madrid,"Madrid, Comunidad de",15275
28016,El Atazar,Madrid,"Madrid, Comunidad de",14656
28017,Batres,Madrid,"Madrid, Comunidad de",14544
28018,Becerril de la Sierra,Madrid,"Madrid, Comunidad de",14981
28019,Belmonte de Tajo,Madrid,"Madrid, Comunidad de",11804
28020,Berzosa del Lozoya,Madrid,"Madrid, Comunidad de",16566
28021,El Berrueco,Madrid,"Madrid, Comunidad de",13103
28022,Boadilla del Monte,Madrid,"Madrid, Comunidad de",23169
28023,El Boalo,Madrid,"Madrid, Comunidad de",15729
28024,Braojos,Madrid,"Madrid, Comunidad de",15194
28025,Brea de Tajo,Madrid,"Madrid, Comunidad de",11047
28026,Brunete,Madrid,"Madrid, Comunidad de",13782
28027,Buitrago del Lozoya,Madrid,"Madrid, Comunidad de",12220
28028,Bustarviejo,Madrid,"Madrid, Comunidad de",13977
28029,Cabanillas de la Sierra,Madrid,"Madrid, Comunidad de",15234
28030,La Cabrera,Madrid,"Madrid, Comunidad de",13284
28031,Cadalso de los Vidrios,Madrid,"Madrid, Comunidad de",10548
28032,Camarma de Esteruelas,Madrid,"Madrid, Comunidad de",13416
28033,Campo Real,Madrid,"Madrid, Comunidad de",12207
28034,Canencia,Madrid,"Madrid, Comunidad de",13181
28035,Carabaña,Madrid,"Madrid, Comunidad de",10536
28036,Casarrubuelos,Madrid,"Madrid, Comunidad de",11947
28037,Cenicientos,Madrid,"Madrid, Comunidad de",10007
28038,Cercedilla,Madrid,"Madrid, Comunidad de",14279
28039,Cervera de Buitrago,Madrid,"Madrid, Comunidad de",15472
28040,Ciempozuelos,Madrid,"Madrid, Comunidad de",11421
28041,Cobeña,Madrid,"Madrid, Comunidad de",16646
28042,Colmenar del Arroyo,Madrid,"Madrid, Comunidad de",13450
28043,Colmenar de Oreja,Madrid,"Madrid, Comunidad de",10744
28044,Colmenarejo,Madrid,"Madrid, Comunidad de",14224
28045,Colmenar Viejo,Madrid,"Madrid, Comunidad de",15757
28046,Collado Mediano,Madrid,"Madrid, Comunidad de",15217
28047,Collado Villalba,Madrid,"Madrid, Comunidad de",13080
28048,Corpa,Madrid,"Madrid, Comunidad de",11609
28049,Coslada,Madrid,"Madrid, Comunidad de",13600
28050,Cubas de la Sagra,Madrid,"Madrid, Comunidad de",12998
28051,Chapinería,Madrid,"Madrid, Comunidad de",12347
28052,Chinchón,Madrid,"Madrid, Comunidad de",11415
28053,Daganzo de Arriba,Madrid,"Madrid, Comunidad de",15266
28054,El Escorial,Madrid,"Madrid, Comunidad de",15320
28055,Estremera,Madrid,"Madrid, Comunidad de",10629
28056,Fresnedillas de la Oliva,Madrid,"Madrid, Comunidad de",10820
28057,Fresno de Torote,Madrid,"Madrid, Comunidad de",12598
28058,Fuenlabrada,Madrid,"Madrid, Comunidad de",11788
28059,Fuente el Saz de Jarama,Madrid,"Madrid, Comunidad de",12618
28060,Fuentidueña de Tajo,Madrid,"Madrid, Comunidad de",10903
28061,Galapagar,Madrid,"Madrid, Comunidad de",14996
28062,Garganta de los Montes,Madrid,"Madrid, Comunidad de",15021
28063,Gargantilla del Lozoya y Pinilla de Buitrago,Madrid,"Madrid, Comunidad de",14918
28064,Gascones,Madrid,"Madrid, Comunidad de",15783
28065,Getafe,Madrid,"Madrid, Comunidad de",14205
28066,Griñón,Madrid,"Madrid, Comunidad de",14500
28067,Guadalix de la Sierra,Madrid,"Madrid, Comunidad de",13040
28068,Guadarrama,Madrid,"Madrid, Comunidad de",14522
28069,La Hiruela,Madrid,"Madrid, Comunidad de",15245
28070,Horcajo de la Sierra-Aoslos,Madrid,"Madrid, Comunidad de",16050
